CountryCode,Language,Percentage
PNG,Malenasian Languages,20.0
PNG,Papuan Languages,78.1
POL,Belorussian,0.5
POL,German,1.3
POL,Polish,97.6
POL,Ukrainian,0.6
PRI,English,47.4
PRI,Spanish,51.3
PRK,Chinese,0.1
PRK,Korean,99.9
PRT,Portuguese,99.0
PRY,German,0.9
PRY,Guaraní,40.1
PRY,Portuguese,3.2
PRY,Spanish,55.1
PSE,Arabic,95.9
PSE,Hebrew,4.1
PYF,Chinese,2.9
PYF,French,40.8
PYF,Tahitian,46.4
QAT,Arabic,40.7
QAT,Urdu,0.0
REU,Chinese,2.8
REU,Comorian,2.8
REU,Creole French,91.5
REU,Malagasy,1.4
REU,Tamil,0.0
ROM,German,0.4
ROM,Hungarian,7.2
ROM,Romani,0.7
ROM,Romanian,90.7
ROM,Serbo-Croatian,0.1
ROM,Ukrainian,0.3
RUS,Avarian,0.4
RUS,Bashkir,0.7
RUS,Belorussian,0.3
RUS,Chechen,0.6
RUS,Chuvash,0.9
RUS,Kazakh,0.4
RUS,Mari,0.4
RUS,Mordva,0.5
RUS,Russian,86.6
RUS,Tatar,3.2
RUS,Udmur,0.3
RUS,Ukrainian,1.3
RWA,French,0.0
RWA,Rwanda,100.0
SAU,Arabic,95.0
SDN,Arabic,49.4
SDN,Bari,2.5
SDN,Beja,6.4
SDN,Chilluk,1.7
SDN,Dinka,11.5
SDN,Fur,2.1
SDN,Lotuko,1.5
SDN,Nubian Languages,8.1
SDN,Nuer,4.9
SDN,Zande,2.7
SEN,Diola,5.0
SEN,Ful,21.7
SEN,Malinke,3.8
SEN,Serer,12.5
SEN,Soninke,1.3
SEN,Wolof,48.1
SGP,Chinese,77.1
SGP,Malay,14.1
SGP,Tamil,7.4
SHN,English,0.0
SJM,Norwegian,0.0
SJM,Russian,0.0
SLB,Malenasian Languages,85.6
SLB,Papuan Languages,8.6
SLB,Polynesian Languages,3.8
SLE,Bullom-sherbro,3.8
SLE,Ful,3.8
SLE,Kono-vai,5.1
SLE,Kuranko,3.4
SLE,Limba,8.3
SLE,Mende,34.8
SLE,Temne,31.8
SLE,Yalunka,3.4
SLV,Nahua,0.0
SLV,Spanish,100.0
SMR,Italian,100.0
SOM,Arabic,0.0
SOM,Somali,98.3
SPM,French,0.0
STP,Crioulo,86.3
STP,French,0.7
SUR,Hindi,0.0
SUR,Sranantonga,81.0
SVK,Czech and Moravian,1.1
SVK,Hungarian,10.5
SVK,Romani,1.7
SVK,Slovak,85.6
SVK,Ukrainian and Russian,0.6
SVN,Hungarian,0.5
SVN,Serbo-Croatian,7.9
SVN,Slovene,87.9
SWE,Arabic,0.8
SWE,Finnish,2.4
SWE,Norwegian,0.5
SWE,Southern Slavic Languages,1.3
SWE,Spanish,0.6
SWE,Swedish,89.5
